index,C#,CNAME,PERIOD,CREDIT,TEACHER
146,MACH390901,工程制图,32.0,2.0,续丹
147,MACH390901,工程制图,32.0,2.0,张群明
148,MACH390901,工程制图,32.0,2.0,史晓军
149,MACH390901,工程制图,32.0,2.0,史晓军
150,MACH390901,工程制图,32.0,2.0,梁庆宣
151,MACH390901,工程制图,32.0,2.0,梁庆宣
152,MACH390901,工程制图,32.0,2.0,王小章
153,MACH390901,工程制图,32.0,2.0,王小章
154,MACH390901,工程制图,32.0,2.0,戚社苗
155,MACH390901,工程制图,32.0,2.0,"苏文军,张志芬"
156,MACH390901,工程制图,32.0,2.0,王文君
157,MACH390901,工程制图,32.0,2.0,肖鸿
158,MACH390901,工程制图,32.0,2.0,"张志芬,苏文军"
159,MACH390901,工程制图,32.0,2.0,姜维
160,MACH390901,工程制图,32.0,2.0,郑杨
161,MACH390901,工程制图,32.0,2.0,李骁
162,MACH390901,工程制图,32.0,2.0,段端志
163,MACH390901,工程制图,32.0,2.0,孙闯
164,MACH390901,工程制图,32.0,2.0,刘意
165,MACH390901,工程制图,32.0,2.0,朱林波
166,MACH390901,工程制图,32.0,2.0,肖鸿
167,MACH390901,工程制图,32.0,2.0,朱林波
168,MACH390901,工程制图,32.0,2.0,孙挪刚
169,MACH391201,工程图学,52.0,3.0,许睦旬
170,MACH391201,工程图学,52.0,3.0,"续丹,曾群锋"
171,MACH391201,工程图学,52.0,3.0,史晓军
172,MACH391401,机械设计基础Ⅰ,72.0,4.0,"雷亚国,武通海"
173,MACH391401,机械设计基础Ⅰ,72.0,4.0,"蒋克俭,杨志勃"
174,MACH391401,机械设计基础Ⅰ,72.0,4.0,"闫柯,曹宏瑞"
175,MACH391401,机械设计基础Ⅰ,72.0,4.0,"李宝童,张东升"
176,MACH391401,机械设计基础Ⅰ,72.0,4.0,徐亮
177,MACH391401,机械设计基础Ⅰ,72.0,4.0,奚延辉
178,MACH391401,机械设计基础Ⅰ,72.0,4.0,"陈丽,贾焕如"
179,MACH391401,机械设计基础Ⅰ,72.0,4.0,王永泉
180,MACH391401,机械设计基础Ⅰ,72.0,4.0,杨培林
181,MACH391401,机械设计基础Ⅰ,72.0,4.0,"陈丽,贾焕如"
182,MACH391501,机械设计基础Ⅱ,56.0,3.0,"蒋克俭,崔健磊"
183,MACH391501,机械设计基础Ⅱ,56.0,3.0,"陈贵敏,杨志勃"
184,MACH391501,机械设计基础Ⅱ,56.0,3.0,"曹军义,刘恒"
185,MACH391501,机械设计基础Ⅱ,56.0,3.0,"蒋克俭,崔健磊"
186,MACH392001,大数据技术,36.0,2.0,"严如强,李乃鹏"
187,MACH392201,大数据技术,64.0,4.0,"张留洋,刘啸川,马猛"
188,MACH392301,程序设计与Python实战,32.0,2.0,马军
189,MACH392401,材料力学（英）,48.0,3.0,"靳忠民,李培"
190,MACH400301,机械设计基础课程设计,32.0,1.0,杨培林
191,MACH400501,机械制造技术基础,56.0,3.0,赵万华
192,MACH400501,机械制造技术基础,56.0,3.0,吕盾
193,MACH400501,机械制造技术基础,56.0,3.0,李旸
194,MACH400501,机械制造技术基础,56.0,3.0,"金涛,洪军"
195,MACH400501,机械制造技术基础,56.0,3.0,"张俊,王春慧"
196,MACH400501,机械制造技术基础,56.0,3.0,张星
197,MACH400801,机械控制工程基础,56.0,3.0,王朝晖
198,MACH402801,材料成形技术基础,32.0,2.0,"李烨飞,张琦,方学伟"
199,MACH402801,材料成形技术基础,32.0,2.0,"马胜强,苏文斌,蔡洪能"
200,MACH402801,材料成形技术基础,32.0,2.0,"张航,鲁中良,臧顺来"
201,MACH402801,材料成形技术基础,32.0,2.0,"李烨飞,方学伟,张琦"
202,MACH402901,机械工程测试技术,48.0,2.5,张庆
203,MACH402901,机械工程测试技术,48.0,2.5,张周锁
204,MACH402901,机械工程测试技术,48.0,2.5,张小栋
205,MACH402901,机械工程测试技术,48.0,2.5,张西宁
206,MACH402901,机械工程测试技术,48.0,2.5,李博
207,MACH402901,机械工程测试技术,48.0,2.5,"徐光华,张庆"
208,MACH402901,机械工程测试技术,48.0,2.5,李敏
209,MACH402901,机械工程测试技术,48.0,2.5,张西宁
210,MACH403001,机械工程测试技术（英）,48.0,2.5,杨树明
211,MACH403001,机械工程测试技术（英）,48.0,2.5,严如强
212,MACH403201,材料成形技术基础（英）,32.0,2.0,"王富,黄科"
213,MACH403301,数控技术,56.0,3.0,"梅雪松,张东升"
214,MACH403301,数控技术,56.0,3.0,陶涛
215,MACH403301,数控技术,56.0,3.0,张东升
216,MACH403301,数控技术,56.0,3.0,姜歌东
217,MACH403301,数控技术,56.0,3.0,"蒋维涛,刘红忠"
218,MACH403301,数控技术,56.0,3.0,孙挪刚
219,MACH403301,数控技术,56.0,3.0,杨军
220,MACH403601,微纳制造工艺与装备,48.0,2.5,"邵金友,陈小明,李祥明,田洪淼,王春慧"
221,MACH403701,机器人技术及应用,40.0,2.0,董霞
222,MACH404001,智能制造技术基础,64.0,3.5,张俊
223,MACH404401,人工智能基础,64.0,4.0,"张小栋,秦立果"
224,MACH404501,机械设计及其智能化,48.0,3.0,"王永泉,李宝童,朱爱斌,赵志斌,刘宏磊,权双璐,郭婷,桂亮"
225,MACH500701,装备与制造系统,40.0,2.0,徐海波
226,MACH501201,现代机器人技术,40.0,2.0,董霞
227,MACH501201,现代机器人技术,40.0,2.0,董霞
228,MACH501301,企业与生产运作管理,36.0,2.0,马登龙
229,MACH501701,机械故障诊断技术,40.0,2.0,"訾艳阳,王琇峰,陈景龙"
230,MACH501701,机械故障诊断技术,40.0,2.0,"陈景龙,王琇峰"
231,MACH501801,机电液传动与控制,40.0,2.0,要义勇
232,MACH501901,机械动力学,32.0,2.0,吴成军
233,MACH501901,机械动力学,32.0,2.0,王小鹏
234,MACH502001,摩擦学,40.0,2.0,"董光能,曾群锋"
235,MACH502501,制造执行系统技术,40.0,2.0,"江平宇,郭威"
236,MACH502501,制造执行系统技术,40.0,2.0,周光辉
237,MACH502501,制造执行系统技术,40.0,2.0,赵丽萍
238,MACH502601,增材制造基础（英）,40.0,2.0,王富
239,MACH502801,增材制造技术（英）,40.0,2.0,"田小永,吴玲玲"
240,MACH503001,现代设计理论与方法,32.0,2.0,朱永生
241,MACH503001,现代设计理论与方法,32.0,2.0,刘志刚
242,MACH503101,柔性电子制造与应用（英）,32.0,2.0,陈小明
243,MACH900201,新形态机器人设计与驱控,64.0,2.0,"彭军,李博,朱子才,郭艳婕,赵志斌,张志成,刘庆芳"
244,MACH900401,智能制造系统的人工智能应用及实践,64.0,2.0,"王保建,孙闯,尹昱东,李珂嘉,秦立果,陈雪峰"
245,VENG430101,汽车电子与控制,40.0,2.0,张政
246,VENG430301,车辆制造实验,48.0,1.5,"金涛,臧顺来,尹昱东,方学伟,张大伟"
247,VENG430501,车辆制造装备与系统,24.0,1.5,张大伟
248,VENG430601,车辆工程导论,16.0,1.0,"张琦,徐俊"
249,VENG430901,电动汽车与混合动力技术,40.0,2.0,曹军义
250,VENG431001,汽车结构有限元与数值计算,24.0,1.0,臧顺来
251,VENG510101,汽车动力学与噪声控制,34.0,2.0,马富银
252,VENG510201,车辆设计,40.0,2.0,"林起崟,韩宾"
253,VENG510301,现代轨道车辆,40.0,2.0,"王永飞,李靖祥"
254,VENG530401,车辆电机与驱动,40.0,2.0,"范淑琴,李靖祥"
255,VENG530501,智能汽车技术,32.0,2.0,"刘意,陈景龙"
256,VENG900201,车辆工程CDIO,56.0,2.0,徐俊
257,GNED100202,动漫世界的材料化学探秘,32.0,2.0,宁晓辉
258,GNED100202,动漫世界的材料化学探秘,32.0,2.0,王章洁
259,MATL200102,工程材料基础,56.0,3.0,李博
260,MATL200102,工程材料基础,56.0,3.0,王继平
261,MATL200102,工程材料基础,56.0,3.0,孙巧艳
262,MATL200102,工程材料基础,56.0,3.0,潘希德
263,MATL200102,工程材料基础,56.0,3.0,李博
264,MATL400602,材料性能,48.0,3.0,"单智伟,周玉美,王悦存"
265,MATL400602,材料性能,48.0,3.0,"刘博宇,李成新,解德刚"
266,MATL400702,Characterization techniques in materials science research,32.0,2.0,陈凯
267,MATL400902,材料工程基础,64.0,4.0,周根树
268,MATL400902,材料工程基础,64.0,4.0,"李梅娥,刘志伟"
269,MATL401202,金相制备与分析实验,32.0,1.0,席生岐
270,MATL401302,材料性能与测试技术实验,32.0,1.0,"陈凯,牛靖"
271,MATL401402,高分子化学与物理实验,32.0,1.0,张启路
272,MATL401602,无机材料制备与性能测试实验,32.0,1.0,"史忠旗,夏鸿雁,王红洁"
273,MATL401902,材料科学基础-1,32.0,2.0,杨冠军
274,MATL401902,材料科学基础-1,32.0,2.0,蔡洪能
275,MATL401902,材料科学基础-1,32.0,2.0,黄平
276,MATL401902,材料科学基础-1,32.0,2.0,殷咸青
277,MATL401902,材料科学基础-1,32.0,2.0,刘宏
278,MATL402402,材料工程基础,40.0,2.5,周根树
279,MATL402602,材料研究方法,32.0,2.0,王疆靖
280,MATL402802,功能材料学,32.0,2.0,"郭靖,潘毅"
281,MATL403102,材料科学基础,40.0,2.5,王章洁
282,MATL403102,材料科学基础,40.0,2.5,"雒晓涛,马胜强"
283,CORE100103,能源与人类文明发展,32.0,2.0,"杨冬,徐东海"
284,CORE100103,能源与人类文明发展,32.0,2.0,"李艳辉,徐东海"
285,CORE100203,再创式学习方法与技术创新训练,32.0,2.0,"杨旭,薛绒,吴伟烽"
286,CORE100303,科学技术与工程伦理,32.0,2.0,"冯健美,陈雪江"
287,CORE100303,科学技术与工程伦理,32.0,2.0,"李早阳,孙中国"
288,CORE100503,核与世界,32.0,2.0,"刘宙宇,王立剑,曹良志"
289,CORE100703,全球科技史纲,32.0,2.0,"赵日晶,白涛,黄东"
290,CORE101600,人与环境,32.0,2.0,"徐浩,李珊珊,饶永芳,冯江涛,延卫"
291,CORE101600,人与环境,32.0,2.0,"徐浩,李珊珊,王嘉楠,冯江涛,延卫"
292,ENPO200203,热工基础Ⅰ,44.0,2.5,杨卫卫
293,ENPO200203,热工基础Ⅰ,44.0,2.5,"何茂刚,唐桂华"
294,ENPO200203,热工基础Ⅰ,44.0,2.5,"吴一宁,王晓坡"
295,ENPO200203,热工基础Ⅰ,44.0,2.5,"冀文涛,杨剑"
296,ENPO200203,热工基础Ⅰ,44.0,2.5,"杨富鑫,任秦龙"
297,ENPO200203,热工基础Ⅰ,44.0,2.5,"程泽东,刘向阳"
298,ENPO200203,热工基础Ⅰ,44.0,2.5,程泽东
299,ENPO200203,热工基础Ⅰ,44.0,2.5,杨富鑫
300,ENPO200203,热工基础Ⅰ,44.0,2.5,"杨富鑫,任秦龙"
301,ENPO340803,工程热力学（英）,64.0,3.5,"刘向阳,杨富鑫,辛楠"
302,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"赵攀,王桂芳"
303,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"戴义平,朱光宇,王桂芳"
304,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"王江峰,王桂芳"
305,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"邱斌斌,王桂芳"
306,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"王珍珍,王桂芳"
307,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"郭朋华,王桂芳"
308,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"王焕然,王桂芳"
309,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"周延,张丹,王桂芳"
310,ENPO341003,自动控制原理Ⅰ,52.0,2.5,"王江峰,王桂芳"
311,ENPO341103,流体力学Ⅰ,64.0,3.5,孟现阳
312,ENPO341103,流体力学Ⅰ,64.0,3.5,李平
313,ENPO341103,流体力学Ⅰ,64.0,3.5,李国君
314,ENPO341103,流体力学Ⅰ,64.0,3.5,张荻
315,ENPO341103,流体力学Ⅰ,64.0,3.5,龚建英
316,ENPO341103,流体力学Ⅰ,64.0,3.5,付雷
317,ENPO341203,工程热力学Ⅰ,64.0,3.5,"何雅玲,何茂刚"
318,ENPO341203,工程热力学Ⅰ,64.0,3.5,"何茂刚,何雅玲"
319,ENPO341203,工程热力学Ⅰ,64.0,3.5,毕胜山
320,ENPO341203,工程热力学Ⅰ,64.0,3.5,杨卫卫
321,ENPO341203,工程热力学Ⅰ,64.0,3.5,吴江涛
322,ENPO341203,工程热力学Ⅰ,64.0,3.5,陶于兵
323,ENPO341203,工程热力学Ⅰ,64.0,3.5,王晓坡
324,ENPO341203,工程热力学Ⅰ,64.0,3.5,"张颖,刘迎文"
325,ENPO341203,工程热力学Ⅰ,64.0,3.5,"刘迎文,张颖"
326,ENPO341303,热能与动力测试技术,52.0,2.5,"邓清华,王珍珍,刘齐寿,王桂芳"
327,ENPO341303,热能与动力测试技术,52.0,2.5,"李会雄,刘齐寿,王桂芳,周延"
328,ENPO341303,热能与动力测试技术,52.0,2.5,"厉彦忠,刘齐寿,谭宏博,谢福寿,王桂芳"
329,ENPO341303,热能与动力测试技术,52.0,2.5,"文键,刘齐寿,郭蓓,李翠,王桂芳"
330,ENPO341303,热能与动力测试技术,52.0,2.5,"宫武旗,刘齐寿,高忠权,陈汝刚,王桂芳"
331,ENPO341303,热能与动力测试技术,52.0,2.5,"邓清华,王珍珍,王桂芳,刘齐寿"
332,ENPO341403,流体力学（英）,64.0,3.5,孙金菊
333,ENPO341503,热流体课程实验-1,32.0,1.0,"唐上朝,吴青平,孟婧,王小丹,张可,程上方,邢张梦,梁雪琪"
334,ENPO341903,现代电力生产技术,56.0,3.0,"刘继平,王进仕,王桂芳,赵全斌,邱斌斌,韩小渠"
335,ENPO341903,现代电力生产技术,56.0,3.0,"刘继平,王进仕,王桂芳,赵全斌,邱斌斌,韩小渠"
